ID,Contractor,Size,Utility,Zip
20997,Affordable Solar Installation,9.6,PNM,87111
20998,Affordable Solar Installation,5.4,PNM,87122
20999,Affordable Solar Installation,5.4,PNM,87111
21000,Affordable Solar Installation,3.8,PNM,87111
21001,Affordable Solar Installation,10.7,PNM,87109
21002,NM Solar Group,5.6,other,88312
21003,Affordable Solar Installation,11.4,PNM,87120
21004,Affordable Solar Installation,8.4,PNM,87002
21005,Affordable Solar Installation,3.9,PNM,87113
21006,Affordable Solar Installation,10.2,PNM,87105
21007,Affordable Solar Installation,12.3,PNM,87068
21008,Affordable Solar Installation,4.2,PNM,87120
21009,Affordable Solar Installation,12.3,PNM,87123
21010,Affordable Solar Installation,13.7,PNM,87111
21011,Affordable Solar Installation,10.8,PNM,87107
21012,Affordable Solar Installation,6.6,PNM,87107
21013,Affordable Solar Installation,12.3,PNM,87107
21014,Affordable Solar Installation,3.6,PNM,87111
21015,Affordable Solar Installation,9.3,PNM,87111
21016,Affordable Solar Installation,9.3,PNM,87113
21017,Affordable Solar Installation,4.5,PNM,87110
21018,Affordable Solar Installation,9.0,PNM,87109
21019,Organ Mountain Solar & Electric,5.0,EPE,88011
21020,Positive Energy Solar,2.2,PNM,87501
21021,Positive Energy Solar,8.5,PNM,87112
21022,Positive Energy Solar,7.0,PNM,87106
21023,Positive Energy Solar,5.6,PNM,87507
21024,Organ Mountain Solar & Electric,9.9,EPE,88007
21025,Organ Mountain Solar & Electric,5.6,EPE,88005
21026,Organ Mountain Solar & Electric,11.9,EPE,88005
21027,Organ Mountain Solar & Electric,3.6,EPE,88007
21028,Organ Mountain Solar & Electric,10.9,OCEC,88310
21029,Organ Mountain Solar & Electric,5.3,EPE,88012
21030,Organ Mountain Solar & Electric,3.3,EPE,88001
21031,Organ Mountain Solar & Electric,15.2,EPE,88001
21033,Ocotillo Solar Electric,3.3,PNM,87122
21034,Affordable Solar Installation,5.7,PNM,87111
21035,EverGuard SolarEnergy LLC,4.3,PNM,87105
21036,Ocotillo Solar Electric,5.9,PNM,87114
21037,Ocotillo Solar Electric,7.6,PNM,87111
21038,Ocotillo Solar Electric,4.3,PNM,87107
21039,Ocotillo Solar Electric,6.4,PNM,87144
21040,SunState Solar Inc./Energized Electric,8.8,PNM,87112
21041,Organ Mountain Solar & Electric,7.9,EPE,88011
21042,Affordable Solar Installation,6.7,PNM,87059
21043,PPC SOLAR,4.4,KCEC,87557
21044,SunState Solar Inc./Energized Electric,6.8,PNM,87120
21045,Organ Mountain Solar & Electric,1.4,EPE,88007
21046,Energy Concepts Corporation,3.1,MSMEC,87745
21047,Solar Works Energy LLC,4.2,PNM,87102
21049,"POULIN DESIGN REMODELING, INC.",5.5,PNM,87124
21051,Energy Concepts Corporation,6.4,PNM,87508
21052,Organ Mountain Solar & Electric,7.6,EPE,88001
21053,"POULIN DESIGN REMODELING, INC.",6.6,PNM,87059
21054,Ion Solar,4.0,PNM,87507
