TaxCreditApplicationID,ReviewDate
21798,2/1/2021
21800,2/1/2021
21801,2/1/2021
21802,2/1/2021
21803,2/1/2021
21804,2/1/2021
21805,2/1/2021
21806,2/1/2021
21807,2/1/2021
21808,2/1/2021
21809,2/1/2021
21810,2/1/2021
21811,2/1/2021
21812,2/1/2021
21813,2/1/2021
21814,2/1/2021
21816,2/1/2021
21817,2/1/2021
21818,2/1/2021
21819,2/1/2021
21820,2/1/2021
21821,2/1/2021
21822,2/1/2021
21823,2/2/2021
21825,2/2/2021
21827,2/2/2021
21828,2/2/2021
21829,2/2/2021
21830,2/2/2021
21832,2/2/2021
21833,2/17/2021
21834,2/2/2021
21835,2/2/2021
21836,2/2/2021
21837,2/3/2021
21838,2/5/2021
21839,2/5/2021
21840,2/4/2021
21841,2/4/2021
21842,2/4/2021
21843,2/4/2021
21844,2/5/2021
21845,2/5/2021
21846,2/5/2021
21847,2/5/2021
21848,2/5/2021
21849,2/5/2021
21850,2/5/2021
21851,2/8/2021
21852,2/8/2021
21853,2/8/2021
21854,2/8/2021
21855,2/8/2021
21856,2/8/2021
21857,2/8/2021
21858,2/8/2021
21859,2/9/2021
21860,2/9/2021
21861,2/9/2021
21862,2/9/2021
21863,2/9/2021
21864,2/9/2021
21865,2/9/2021
21866,2/9/2021
21867,2/9/2021
21868,2/9/2021
21869,2/9/2021
21870,2/9/2021
21871,2/9/2021
21872,2/9/2021
21873,2/9/2021
21874,2/9/2021
21875,2/9/2021
21876,2/10/2021
21877,2/10/2021
21878,2/10/2021
21879,2/11/2021
21881,2/12/2021
21882,2/10/2021
21883,2/10/2021
21884,5/7/2021
21885,2/10/2021
21886,2/12/2021
21887,2/12/2021
21889,2/10/2021
21890,2/10/2021
21891,2/10/2021
21892,2/10/2021
21893,2/10/2021
21894,2/10/2021
21895,2/10/2021
21896,2/10/2021
21897,2/10/2021
21898,2/10/2021
21899,2/10/2021
21900,2/10/2021
21901,2/10/2021
21902,2/10/2021
21903,2/10/2021
21904,2/11/2021
21905,2/11/2021
21906,2/11/2021
21907,2/11/2021
21908,2/11/2021
21909,2/11/2021
21910,2/11/2021
21911,2/11/2021
21912,2/12/2021
21913,2/11/2021
21914,2/11/2021
21915,2/11/2021
21916,2/11/2021
21917,2/11/2021
21918,2/11/2021
21919,2/11/2021
21920,2/11/2021
21921,2/11/2021
21922,2/11/2021
21923,2/11/2021
21924,2/11/2021
21925,2/11/2021
21926,2/11/2021
21927,2/11/2021
21928,2/11/2021
21929,2/11/2021
21930,2/12/2021
21931,2/12/2021
21932,2/12/2021
21934,2/12/2021
21935,2/12/2021
21936,2/12/2021
21937,2/12/2021
21939,2/15/2021
21941,2/15/2021
21942,2/15/2021
21943,2/15/2021
21944,2/15/2021
21945,2/15/2021
21946,2/15/2021
21947,2/17/2021
21948,2/15/2021
21949,2/15/2021
21950,2/17/2021
21952,2/17/2021
21953,2/17/2021
21954,2/17/2021
21955,2/17/2021
21957,2/17/2021
21958,2/17/2021
21959,2/17/2021
21960,2/17/2021
21961,2/17/2021
21962,2/17/2021
21963,2/17/2021
21964,2/17/2021
21965,2/17/2021
21966,2/17/2021
21967,2/17/2021
21968,2/17/2021
21969,2/17/2021
21970,2/17/2021
21971,2/17/2021
21972,2/17/2021
21974,2/17/2021
21975,2/17/2021
21976,2/17/2021
21977,2/17/2021
21978,2/17/2021
21979,2/17/2021
21980,2/17/2021
21981,2/17/2021
21982,2/17/2021
21983,2/17/2021
21984,2/17/2021
21985,2/17/2021
21986,2/17/2021
21987,2/17/2021
21988,2/17/2021
21989,2/17/2021
21990,3/8/2021
21991,2/17/2021
21992,2/17/2021
21993,2/17/2021
21994,2/17/2021
21996,2/17/2021
21997,2/17/2021
21998,2/17/2021
21999,2/18/2021
22000,2/18/2021
22001,2/18/2021
22002,2/18/2021
22003,2/18/2021
22004,3/8/2021
22005,2/18/2021
22006,2/18/2021
22007,2/18/2021
22008,2/18/2021
22010,2/18/2021
22011,2/18/2021
22012,2/18/2021
22013,2/18/2021
22014,2/18/2021
22015,2/18/2021
22016,2/18/2021
22017,2/18/2021
22018,2/18/2021
22019,2/25/2021
22020,2/25/2021
22021,2/25/2021
22022,2/25/2021
22023,2/25/2021
22024,2/25/2021
22025,2/25/2021
22026,2/25/2021
22027,2/25/2021
22028,2/25/2021
22029,2/25/2021
22030,2/25/2021
22031,2/25/2021
22032,2/25/2021
22033,2/25/2021
22034,3/8/2021
22035,2/25/2021
22036,3/8/2021
22037,2/25/2021
22038,2/25/2021
22040,6/18/2021
22041,2/25/2021
22043,2/25/2021
22044,2/25/2021
22045,2/25/2021
22047,2/25/2021
22048,3/8/2021
22049,2/25/2021
22050,2/25/2021
22051,2/25/2021
22052,2/25/2021
22053,2/25/2021
22054,2/25/2021
22055,2/25/2021
22056,2/25/2021
22057,2/25/2021
22058,2/25/2021
22059,2/25/2021
22061,2/25/2021
22063,2/25/2021
22064,2/25/2021
22065,2/25/2021
22066,2/25/2021
22067,2/25/2021
22068,2/25/2021
22069,2/25/2021
22070,2/25/2021
22071,2/25/2021
22072,2/25/2021
22073,2/25/2021
22074,2/25/2021
22075,2/25/2021
22076,2/25/2021
22077,2/25/2021
22078,2/25/2021
22079,3/8/2021
22080,3/8/2021
22081,3/5/2021
22082,3/5/2021
22083,3/8/2021
22084,3/5/2021
22085,3/5/2021
22086,3/5/2021
22087,3/5/2021
22088,3/5/2021
22089,3/5/2021
22090,3/5/2021
22091,3/5/2021
22092,3/5/2021
22093,3/5/2021
22094,7/23/2021
22095,3/5/2021
22096,3/5/2021
22097,3/5/2021
22098,3/5/2021
22099,3/5/2021
22100,3/5/2021
22101,3/8/2021
22102,3/5/2021
22103,3/5/2021
22104,3/5/2021
22105,3/5/2021
22106,3/5/2021
22107,3/5/2021
22108,3/5/2021
22109,3/5/2021
22110,3/5/2021
22112,3/5/2021
22113,3/5/2021
22114,3/5/2021
22115,3/5/2021
22116,3/5/2021
22117,3/5/2021
22118,3/5/2021
22119,3/5/2021
22120,3/5/2021
22121,3/5/2021
22122,3/5/2021
22123,3/5/2021
22125,3/5/2021
22126,3/5/2021
22127,3/5/2021
22128,3/8/2021
22129,3/5/2021
22130,3/5/2021
22131,3/5/2021
22132,3/8/2021
22133,3/8/2021
22134,3/8/2021
22135,3/8/2021
22136,3/8/2021
22137,3/8/2021
22138,3/8/2021
22140,3/8/2021
22142,3/8/2021
22143,3/8/2021
22145,3/8/2021
22146,3/8/2021
22147,3/8/2021
22148,3/8/2021
22149,3/8/2021
22150,3/8/2021
22151,3/8/2021
